THIx,THIy,KNEx,KNEy,TIBx,TIBy,knee angle
0.6203125,0.529891304,0.609375,0.627717391,0.59375,0.744565217,985
0.6203125,0.529891304,0.609375,0.627717391,0.59375,0.744565217,969
0.625,0.529891304,0.6125,0.627717391,0.5953125,0.744565217,957
0.6265625,0.532608696,0.6125,0.627717391,0.5953125,0.744565217,948
0.628125,0.529891304,0.6140625,0.627717391,0.596875,0.744565217,941
0.6296875,0.532608696,0.615625,0.627717391,0.596875,0.744565217,938
0.6328125,0.532608696,0.6171875,0.627717391,0.5984375,0.741847826,938
0.6359375,0.532608696,0.6203125,0.627717391,0.6,0.744565217,940
0.6390625,0.535326087,0.621875,0.627717391,0.6015625,0.744565217,945
0.640625,0.535326087,0.6234375,0.627717391,0.603125,0.741847826,953
0.6421875,0.535326087,0.625,0.630434783,0.603125,0.741847826,965
0.6453125,0.535326087,0.6265625,0.630434783,0.6046875,0.741847826,979
0.65,0.535326087,0.6296875,0.630434783,0.60625,0.741847826,996
0.653125,0.538043478,0.6328125,0.630434783,0.60625,0.741847826,1017
0.6546875,0.538043478,0.634375,0.630434783,0.6078125,0.741847826,1041
0.65625,0.538043478,0.6359375,0.630434783,0.609375,0.741847826,1070
0.6578125,0.538043478,0.6375,0.630434783,0.6109375,0.741847826,1104
0.6625,0.538043478,0.640625,0.630434783,0.6125,0.741847826,1143
0.665625,0.538043478,0.6421875,0.630434783,0.6140625,0.741847826,1187
0.6671875,0.54076087,0.6453125,0.630434783,0.615625,0.741847826,1239
0.6703125,0.54076087,0.646875,0.630434783,0.6171875,0.739130435,1297
0.671875,0.54076087,0.65,0.633152174,0.61875,0.739130435,1363
0.678125,0.54076087,0.6546875,0.633152174,0.621875,0.736413043,1438
0.68125,0.54076087,0.65625,0.633152174,0.6234375,0.736413043,1521
0.6828125,0.54076087,0.659375,0.633152174,0.625,0.736413043,1614
0.6859375,0.54076087,0.6625,0.633152174,0.6265625,0.736413043,1717
0.6890625,0.54076087,0.6640625,0.633152174,0.6296875,0.733695652,1830
0.696875,0.54076087,0.671875,0.630434783,0.6328125,0.733695652,1954
0.7,0.54076087,0.675,0.630434783,0.6359375,0.730978261,2088
0.703125,0.54076087,0.678125,0.630434783,0.6375,0.730978261,2232
0.7078125,0.538043478,0.68125,0.630434783,0.6421875,0.730978261,2387
0.7125,0.538043478,0.6859375,0.630434783,0.6453125,0.72826087,2553
0.721875,0.538043478,0.6953125,0.630434783,0.6515625,0.725543478,2729
0.7265625,0.538043478,0.7015625,0.630434783,0.6546875,0.722826087,2914
0.73125,0.538043478,0.70625,0.630434783,0.659375,0.722826087,3110
0.2078125,0.529891304,0.1953125,0.630434783,0.1421875,0.720108696,4072
0.2140625,0.529891304,0.203125,0.630434783,0.15,0.717391304,4309
0.221875,0.529891304,0.2109375,0.630434783,0.1578125,0.717391304,4517
0.2359375,0.529891304,0.2265625,0.630434783,0.1734375,0.714673913,4695
0.2421875,0.529891304,0.234375,0.630434783,0.18125,0.714673913,4844
0.2484375,0.529891304,0.2421875,0.630434783,0.1890625,0.714673913,4964
0.25625,0.529891304,0.25,0.630434783,0.196875,0.714673913,5056
0.2625,0.529891304,0.2578125,0.630434783,0.2046875,0.711956522,5121
0.2765625,0.527173913,0.2734375,0.625,0.221875,0.70923913,5158
0.284375,0.524456522,0.28125,0.625,0.2296875,0.706521739,5168
0.290625,0.524456522,0.2890625,0.622282609,0.2390625,0.706521739,5151
0.296875,0.52173913,0.296875,0.622282609,0.246875,0.706521739,5109
0.3015625,0.519021739,0.303125,0.619565217,0.2546875,0.706521739,5042
0.315625,0.516304348,0.3171875,0.614130435,0.271875,0.703804348,4953
0.3203125,0.513586957,0.3234375,0.611413043,0.2796875,0.703804348,4843
0.325,0.510869565,0.33125,0.611413043,0.2875,0.703804348,4714
0.3328125,0.510869565,0.3375,0.608695652,0.296875,0.703804348,4568
0.3375,0.508152174,0.34375,0.605978261,0.3046875,0.703804348,4409
0.346875,0.505434783,0.35625,0.60326087,0.3203125,0.703804348,4237
0.3515625,0.502717391,0.3625,0.60326087,0.328125,0.703804348,4056
0.3578125,0.502717391,0.36875,0.600543478,0.3359375,0.706521739,3867
0.3625,0.502717391,0.3734375,0.600543478,0.34375,0.706521739,3672
0.365625,0.502717391,0.378125,0.597826087,0.3515625,0.70923913,3471
0.375,0.5,0.3890625,0.597826087,0.36875,0.711956522,3266
0.378125,0.5,0.39375,0.597826087,0.3765625,0.711956522,3058
0.3828125,0.5,0.3984375,0.597826087,0.3828125,0.711956522,2847
0.3875,0.502717391,0.4046875,0.597826087,0.3890625,0.711956522,2634
0.390625,0.5,0.4078125,0.597826087,0.396875,0.714673913,2420
0.3984375,0.502717391,0.415625,0.597826087,0.4109375,0.714673913,2208
0.3984375,0.502717391,0.415625,0.597826087,0.4109375,0.714673913,1999
0.40625,0.505434783,0.425,0.597826087,0.4234375,0.714673913,1796
0.409375,0.508152174,0.4296875,0.597826087,0.4296875,0.717391304,1602
0.4140625,0.508152174,0.4328125,0.597826087,0.4359375,0.717391304,1419
0.4203125,0.510869565,0.4390625,0.600543478,0.446875,0.717391304,1250
0.4203125,0.510869565,0.4390625,0.600543478,0.446875,0.717391304,1100
0.4265625,0.513586957,0.4453125,0.600543478,0.4578125,0.717391304,969
0.4296875,0.516304348,0.45,0.60326087,0.4625,0.717391304,860
0.4328125,0.519021739,0.453125,0.60326087,0.4671875,0.717391304,776
0.4375,0.519021739,0.45625,0.60326087,0.471875,0.717391304,716
0.440625,0.519021739,0.459375,0.605978261,0.4765625,0.717391304,681
0.446875,0.52173913,0.4671875,0.605978261,0.484375,0.720108696,670
0.4515625,0.52173913,0.4703125,0.608695652,0.4890625,0.720108696,683
0.45625,0.524456522,0.475,0.608695652,0.4921875,0.720108696,717
0.459375,0.524456522,0.4796875,0.608695652,0.496875,0.720108696,771
0.4640625,0.524456522,0.484375,0.608695652,0.5,0.720108696,842
0.475,0.524456522,0.4921875,0.611413043,0.5078125,0.722826087,927
0.478125,0.524456522,0.496875,0.611413043,0.5109375,0.722826087,1023
