frame,milisec,ASIx,ASIy,PSIx,PSIy,THIx,THIy,KNEx,KNEy,TIBx,TIBy,ANKx,ANKy,TOEx,TOEy,HEEx,HEEy,hip angle,knee angle,ankle angle
122,None,None,None,None,None,0.91484375,0.49027777777777776,0.90546875,0.5986111111111111,0.93515625,0.6722222222222223,None,None,None,None,None,None,None,None,None
123,None,None,None,None,None,0.91484375,0.49027777777777776,0.90546875,0.5986111111111111,0.93515625,0.6722222222222223,None,None,None,None,None,None,None,None,None
124,None,None,None,None,None,0.91015625,0.49027777777777776,0.9,0.5972222222222222,0.92890625,0.6722222222222223,None,None,None,None,None,None,None,None,None
125,None,None,None,None,None,0.91015625,0.49027777777777776,0.9,0.5972222222222222,0.92890625,0.6722222222222223,None,None,None,None,None,None,None,None,None
126,None,None,None,None,None,0.90625,0.4888888888888889,0.8953125,0.5972222222222222,0.92265625,0.6722222222222223,None,None,None,None,None,None,None,None,None
127,None,None,None,None,None,0.90625,0.4888888888888889,0.8953125,0.5972222222222222,0.92265625,0.6722222222222223,None,None,None,None,None,None,None,None,None
128,None,None,None,None,None,0.9015625,0.4888888888888889,0.88984375,0.5972222222222222,0.91640625,0.6736111111111112,None,None,None,None,None,None,None,None,None
129,None,None,None,None,None,0.9015625,0.4888888888888889,0.88984375,0.5972222222222222,0.91640625,0.6736111111111112,None,None,None,None,None,None,None,None,None
130,None,None,None,None,None,0.89765625,0.4875,0.884375,0.5958333333333333,0.91015625,0.6736111111111112,None,None,None,None,None,None,None,None,None
131,None,None,None,None,None,0.89765625,0.4875,0.884375,0.5958333333333333,0.91015625,0.6736111111111112,None,None,None,None,None,None,None,None,None
132,None,None,None,None,None,0.89375,0.4875,0.87890625,0.5944444444444444,0.90390625,0.6736111111111112,None,None,None,None,None,None,None,None,None
133,None,None,None,None,None,0.89375,0.4875,0.87890625,0.5944444444444444,0.90390625,0.6736111111111112,None,None,None,None,None,None,None,None,None
134,None,None,None,None,None,0.8890625,0.4861111111111111,0.8734375,0.5944444444444444,0.89765625,0.6736111111111112,None,None,None,None,None,None,None,None,None
135,None,None,None,None,None,0.8890625,0.4861111111111111,0.8734375,0.5944444444444444,0.89765625,0.6736111111111112,None,None,None,None,None,None,None,None,None
136,None,None,None,None,None,0.88515625,0.4861111111111111,0.86875,0.5930555555555556,0.89140625,0.6736111111111112,None,None,None,None,None,None,None,None,None
137,None,None,None,None,None,0.88515625,0.4861111111111111,0.86875,0.5930555555555556,0.89140625,0.6736111111111112,None,None,None,None,None,None,None,None,None
138,None,None,None,None,None,0.88125,0.4847222222222222,0.86328125,0.5916666666666667,0.8859375,0.6736111111111112,None,None,None,None,None,None,None,None,None
139,None,None,None,None,None,0.88125,0.4847222222222222,0.86328125,0.5916666666666667,0.8859375,0.6736111111111112,None,None,None,None,None,None,None,None,None
140,None,None,None,None,None,0.87734375,0.4847222222222222,0.85859375,0.5916666666666667,0.8796875,0.6736111111111112,None,None,None,None,None,None,None,None,None
141,None,None,None,None,None,0.87734375,0.4847222222222222,0.85859375,0.5916666666666667,0.8796875,0.6736111111111112,None,None,None,None,None,None,None,None,None
142,None,None,None,None,None,0.8734375,0.48333333333333334,0.853125,0.5902777777777778,0.87265625,0.6736111111111112,None,None,None,None,None,None,None,None,None
143,None,None,None,None,None,0.8734375,0.48333333333333334,0.853125,0.5902777777777778,0.87265625,0.6736111111111112,None,None,None,None,None,None,None,None,None
144,None,None,None,None,None,0.86953125,0.48333333333333334,0.8484375,0.5888888888888889,0.86640625,0.675,None,None,None,None,None,None,None,None,None
145,None,None,None,None,None,0.86953125,0.48333333333333334,0.8484375,0.5888888888888889,0.86640625,0.675,None,None,None,None,None,None,None,None,None
146,None,None,None,None,None,0.865625,0.48333333333333334,0.84375,0.5888888888888889,0.8609375,0.675,None,None,None,None,None,None,None,None,None
147,None,None,None,None,None,0.865625,0.48333333333333334,0.84375,0.5888888888888889,0.8609375,0.675,None,None,None,None,None,None,None,None,None
148,None,None,None,None,None,0.86171875,0.48333333333333334,0.8390625,0.5875,0.8546875,0.6763888888888889,None,None,None,None,None,None,None,None,None
149,None,None,None,None,None,0.86171875,0.48333333333333334,0.8390625,0.5875,0.8546875,0.6763888888888889,None,None,None,None,None,None,None,None,None
150,None,None,None,None,None,0.8578125,0.48333333333333334,0.83359375,0.5861111111111111,0.8484375,0.6763888888888889,None,None,None,None,None,None,None,None,None
151,None,None,None,None,None,0.8578125,0.48333333333333334,0.83359375,0.5861111111111111,0.8484375,0.6763888888888889,None,None,None,None,None,None,None,None,None
152,None,None,None,None,None,0.85390625,0.48333333333333334,0.82890625,0.5861111111111111,0.8421875,0.6777777777777778,None,None,None,None,None,None,None,None,None
153,None,None,None,None,None,0.85390625,0.48333333333333334,0.82890625,0.5861111111111111,0.8421875,0.6777777777777778,None,None,None,None,None,None,None,None,None
154,None,None,None,None,None,0.85078125,0.48333333333333334,0.825,0.5861111111111111,0.8359375,0.6791666666666667,None,None,None,None,None,None,None,None,None
155,None,None,None,None,None,0.85078125,0.48333333333333334,0.825,0.5861111111111111,0.8359375,0.6791666666666667,None,None,None,None,None,None,None,None,None
156,None,None,None,None,None,0.846875,0.48194444444444445,0.8203125,0.5847222222222223,0.8296875,0.6791666666666667,None,None,None,None,None,None,None,None,None
157,None,None,None,None,None,0.846875,0.48194444444444445,0.8203125,0.5847222222222223,0.8296875,0.6791666666666667,None,None,None,None,None,None,None,None,None
158,None,None,None,None,None,0.84375,0.48333333333333334,0.815625,0.5847222222222223,0.82421875,0.6791666666666667,None,None,None,None,None,None,None,None,None
159,None,None,None,None,None,0.84375,0.48333333333333334,0.815625,0.5847222222222223,0.82421875,0.6791666666666667,None,None,None,None,None,None,None,None,None
160,None,None,None,None,None,0.83984375,0.48333333333333334,0.8109375,0.5847222222222223,0.81796875,0.6805555555555556,None,None,None,None,None,None,None,None,None
161,None,None,None,None,None,0.83984375,0.48333333333333334,0.8109375,0.5847222222222223,0.81796875,0.6805555555555556,None,None,None,None,None,None,None,None,None
162,None,None,None,None,None,0.83671875,0.48333333333333334,0.80703125,0.5833333333333334,0.81171875,0.6819444444444445,None,None,None,None,None,None,None,None,None
163,None,None,None,None,None,0.83671875,0.48333333333333334,0.80703125,0.5833333333333334,0.81171875,0.6819444444444445,None,None,None,None,None,None,None,None,None
164,None,None,None,None,None,0.8328125,0.48333333333333334,0.80234375,0.5833333333333334,0.80625,0.6819444444444445,None,None,None,None,None,None,None,None,None
165,None,None,None,None,None,0.8328125,0.48333333333333334,0.80234375,0.5833333333333334,0.80625,0.6819444444444445,None,None,None,None,None,None,None,None,None
